Config,Intermediary,Consumers,m,Anonymization,Participation Rate,Social Welfare,Consumer Surplus,Producer Profit,Intermediary Profit,Intermediary Profit Loss (%),Individual Accuracy,TP,TN,FP,FN,Consumer Surplus Gap,Gini Consumer Surplus,场景,模型,数据结构
B,Rational,LLM,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]",identified,0,209.4440291,76.55102814,131.1826504,1.710350534,-30.42664716,0.95,0,19,0,1,0,0.017643694,C,qwen3-max,common_preferences
C,LLM,Rational,0.7,anonymized,0.065382301,209.777335,76.55102814,131.1826504,1.172156435,10.61456072,,,,,,,,C,qwen3-max,common_preferences
D,LLM,LLM,1,anonymized,0,207.7336786,76.55102814,131.1826504,0,100,0.45,0,9,0,11,-7.050068828,0.017643694,C,qwen3-max,common_preferences
A (Theory),Rational,Rational,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]",identified,0.034243906,209.4440291,76.55102814,131.1826504,1.311350534,0,,,,,,,,C,deepseek-v3-0324,common_preferences
B,Rational,LLM,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]",identified,0,209.4440291,76.55102814,131.1826504,1.710350534,-30.42664716,0.95,0,19,0,1,0,0.017643694,C,deepseek-v3-0324,common_preferences
C,LLM,Rational,0.7,identified,0.065382301,210.2507797,76.55102814,131.1826504,1.607101119,-22.55312957,,,,,,,,C,deepseek-v3-0324,common_preferences
D,LLM,LLM,0.9,anonymized,0,207.7336786,76.55102814,131.1826504,0,100,0.65,0,13,0,7,1.191386071,0.017643694,C,deepseek-v3-0324,common_preferences
A (Theory),Rational,Rational,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]",identified,0.034243906,209.4440291,76.55102814,131.1826504,1.311350534,0,,,,,,,,C,deepseek-v3.1,common_preferences
B,Rational,LLM,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]",identified,0,209.4440291,76.55102814,131.1826504,1.710350534,-30.42664716,0.95,0,19,0,1,0,0.017643694,C,deepseek-v3.1,common_preferences
C,LLM,Rational,0.7,identified,0.065382301,210.2507797,76.55102814,131.1826504,1.607101119,-22.55312957,,,,,,,,C,deepseek-v3.1,common_preferences
D,LLM,LLM,0.4,anonymized,0,207.7336786,76.55102814,131.1826504,0,100,0.95,0,19,0,1,0,0.017643694,C,deepseek-v3.1,common_preferences
A (Theory),Rational,Rational,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]",identified,0.034243906,209.4440291,76.55102814,131.1826504,1.311350534,0,,,,,,,,C,deepseek-v3.2,common_preferences
B,Rational,LLM,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]",identified,0.05,201.4712078,97.65394735,102.70691,1.110350534,15.32770947,0.9,0,18,1,1,21.10291921,0.022431748,C,deepseek-v3.2,common_preferences
C,LLM,Rational,0.7,identified,0.065382301,210.2507797,76.55102814,131.1826504,1.607101119,-22.55312957,,,,,,,,C,deepseek-v3.2,common_preferences
D,LLM,LLM,1.7,anonymized,0.05,207.1396865,85.86460568,120.0981965,1.176884278,10.25402838,0.1,1,1,0,18,-20.28465232,0.033013211,C,deepseek-v3.2,common_preferences
A (Theory),Rational,Rational,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]",identified,0.034243906,209.4440291,76.55102814,131.1826504,1.311350534,0,,,,,,,,C,gpt-5,common_preferences
B,Rational,LLM,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]",identified,0,209.4440291,76.55102814,131.1826504,1.710350534,-30.42664716,0.95,0,19,0,1,0,0.017643694,C,gpt-5,common_preferences
C,LLM,Rational,0.77,anonymized,0.101758871,211.2043502,76.55102814,131.1826504,1.857521626,-41.64951151,,,,,,,,C,gpt-5,common_preferences
D,LLM,LLM,1.6,anonymized,0.1,218.120128,60.97172157,157.3876179,-0.239211425,118.2416081,0.2,2,2,0,16,-42.77384291,0.054906907,C,gpt-5,common_preferences
A (Theory),Rational,Rational,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]",identified,0.034243906,209.4440291,76.55102814,131.1826504,1.311350534,0,,,,,,,,C,gpt-5.1,common_preferences
B,Rational,LLM,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]",identified,0,209.4440291,76.55102814,131.1826504,1.710350534,-30.42664716,0.95,0,19,0,1,0,0.017643694,C,gpt-5.1,common_preferences
C,LLM,Rational,0.78,identified,0.104427662,211.1043942,76.55102814,131.1826504,1.732715671,-32.13215125,,,,,,,,C,gpt-5.1,common_preferences
D,LLM,LLM,0.7,anonymized,0.1,216.7261412,63.05681269,151.8108795,1.858449075,-41.72023623,0.95,1,18,1,0,-13.49421545,0.025719789,C,gpt-5.1,common_preferences
A (Theory),Rational,Rational,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]",identified,0.034243906,209.4440291,76.55102814,131.1826504,1.311350534,0,,,,,,,,C,gpt-5.1-2025-11-13,common_preferences
B,Rational,LLM,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]",identified,0.05,209.244863,74.74302557,133.3914869,1.110350534,15.32770947,0.9,0,18,1,1,-1.808002563,0.015983474,C,gpt-5.1-2025-11-13,common_preferences
C,LLM,Rational,0.75,identified,0.083348956,210.7079131,76.55102814,131.1826504,1.714234546,-30.72283128,,,,,,,,C,gpt-5.1-2025-11-13,common_preferences
D,LLM,LLM,1.2,anonymized,0.1,218.120128,60.17172157,157.3876179,0.560788575,57.23579924,0.45,2,7,0,11,-31.36363974,0.04367116,C,gpt-5.1-2025-11-13,common_preferences
A (Theory),Rational,Rational,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]",identified,0.034243906,209.4440291,76.55102814,131.1826504,1.311350534,0,,,,,,,,C,gpt-5.2,common_preferences
B,Rational,LLM,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]",identified,0,209.4440291,76.55102814,131.1826504,1.710350534,-30.42664716,0.95,0,19,0,1,0,0.017643694,C,gpt-5.2,common_preferences
C,LLM,Rational,0.75,anonymized,0.083348956,210.7742327,76.55102814,131.1826504,1.705554127,-30.06088627,,,,,,,,C,gpt-5.2,common_preferences
D,LLM,LLM,0.85,anonymized,0.05,212.1630349,68.27056418,142.2123652,1.680105595,-28.12025097,0.75,1,14,0,5,0.606666459,0.018057286,C,gpt-5.2,common_preferences
A (Theory),Rational,Rational,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]",identified,0.03424390602811047,209.4440290893279,76.55102813585835,131.18265041936823,1.3113505341013418,0.0,,,,,,,,C,deepseek-r1,common_preferences
B,Rational,LLM,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]",identified,0.05,212.48758242921096,64.25654716525003,147.1206847298596,1.1103505341013418,15.327709469973547,1.0,1.0,19.0,0.0,0.0,-12.29448097060832,0.015911915149787292,C,deepseek-r1,common_preferences
C,LLM,Rational,0.7500000000000001,identified,0.08334895630029204,210.70791310138299,76.55102813585835,131.18265041936823,1.714234546156415,-30.722831277997415,,,,,,,,C,deepseek-r1,common_preferences
D,LLM,LLM,0.8,identified,0.0,207.73367855522656,76.55102813585835,131.18265041936823,0.0,100.0,0.75,0.0,15.0,0.0,5.0,0.0,0.017643694111231012,C,deepseek-r1,common_preferences
